"","geocode","lon","lat"
"525","Gretna, LA USA",-90.0539603,29.9146493
"526","New Orleans, LA USA",-90.0715323,29.9510658
"527","North Little Rock, AR USA",-92.2670941,34.769536
"528","Pine Bluff, AR USA",-92.0031955,34.2284312
"529","Wichita Falls, TX USA",-98.4933873,33.9137085
"530","San Angelo, TX USA",-100.4370375,31.4637723
"531","Lafayette, LA USA",-92.0198427,30.2240897
"532","Abilene, TX USA",-99.7331439,32.4487364
"533","Arlington, TX USA",-97.1080656,32.735687
"534","Santa Fe, NM USA",-105.937799,35.6869752
"535","Austin, TX USA",-97.7430608,30.267153
"536","Las Cruces, NM USA",-106.7636538,32.3199396
"537","Corpus Christi, TX USA",-97.396381,27.8005828
"538","Sherman, TX USA",-96.6088805,33.6356618
"539","Dallas, TX USA",-96.7969879,32.7766642
"540","Garland, TX USA",-96.6388833,32.912624
"541","Chalmette, LA USA",-89.9635162,29.942783
"542","Bryan, TX USA",-96.3699632,30.6743643
"543","Fayetteville, AR USA",-94.1718542,36.082156
"544","Grand Prairie, TX USA",-96.9977846,32.7459645
"545","Mesquite, TX USA",-96.5991593,32.7667955
"546","Springdale, AR USA",-94.1288141,36.1867442
"547","Lewisville, TX USA",-96.994174,33.046233
"548","Temple, TX USA",-97.342782,31.0982344
"549","Denton, TX USA",-97.1330683,33.2148412
"550","Plano, TX USA",-96.6988856,33.0198431
"551","Houma, LA USA",-90.7195348,29.5957696
"552","Longview, TX USA",-94.7404891,32.5007037
"553","Texas City, TX USA",-94.9027002,29.383845
"554","Fort Smith, AR USA",-94.3985475,35.3859242
"555","Tyler, TX USA",-95.3010624,32.3512601
"556","Weslaco, TX USA",-97.9908366,26.1595194
"557","San Saba, TX USA",-98.718098,31.1957234
"558","Texarkana, TX USA",-94.0476882,33.425125
"559","Lawton, OK USA",-98.3959291,34.6035669
"560","Victoria, TX USA",-97.0035982,28.8052674
"561","Norman, OK USA",-97.4394777,35.2225668
"562","Midland, TX USA",-102.0779146,31.9973456
"563","McAllen, TX USA",-98.2300124,26.2034071
"564","Farmington, NM USA",-108.2186856,36.7280583
"565","Sugar Land, TX USA",-95.6349463,29.6196787
"566","Jonesboro, AR USA",-90.704279,35.8422967
"567","Hot Springs, AR USA",-93.0551795,34.5037004
"568","Grapevine, TX USA",-97.0780654,32.9342919
"569","Mandeville, LA USA",-90.0656311,30.3582506
"570","McKinney, TX USA",-96.6397822,33.1972465
"571","LaPlace, LA USA",-90.4800848,30.0665907
"572","Cleburne, TX USA",-97.3866837,32.3476438
"573","Terrell, TX USA",-96.2752569,32.7359626
"574","Mineral Wells, TX USA",-98.1128223,32.8084605
"575","Edmond, OK USA",-97.4780954,35.6528323
"576","Round Rock, TX USA",-97.678896,30.5082551
"577","Belle Chasse, LA USA",-89.9906253,29.8549287
"578","Conroe, TX USA",-95.4560512,30.3118769
"579","The Woodlands, TX USA",-95.4612625,30.1658207
"580","Corsicana, TX USA",-96.4688727,32.0954304
"581","Lincoln, NE USA",-96.6851982,40.8257625
"582","Omaha, NE USA",-95.9979883,41.2523634
"583","Springfield, MO USA",-93.2922989,37.2089572
"584","Kansas City, MO USA",-94.5785667,39.0997265
"585","St. Louis, MO USA",-90.1994042,38.6270025
"586","Bettendorf, IA USA",-90.48344,41.56085
"587","Cedar Rapids, IA USA",-91.6656232,41.9778795
"588","Davenport, IA USA",-90.5776367,41.5236437
"589","Des Moines, IA USA",-93.6091064,41.6005448
"590","Dubuque, IA USA",-90.6645718,42.5005583
"591","Sioux City, IA USA",-96.4003069,42.4999942
"592","Waterloo, IA USA",-92.3425775,42.492786
"593","Topeka, KS USA",-95.6890185,39.0558235
"594","Wichita, KS USA",-97.330053,37.6871761
"595","Columbia, MO USA",-92.3340724,38.9517053
"596","Iowa City, IA USA",-91.5301683,41.6611277
"597","East Dubuque, IL USA",-90.6429054,42.4922253
"598","Coralville, IA USA",-91.5960643,41.6822756
"599","St. Joseph, MO USA",-94.846681,39.7674578
"600","Lawrence, KS USA",-95.2352501,38.9716689
"601","Olathe, KS USA",-94.8191285,38.8813958
"602","Liberty, MO USA",-94.4191177,39.2461138
"603","Joplin, MO USA",-94.513281,37.0842271
"604","Ames, IA USA",-93.6319131,42.0307812
"605","Jefferson City, MO USA",-92.1735164,38.5767017
"606","Independence, MO USA",-94.4155068,39.0911161
"607","Kansas City, KS USA",-94.6274636,39.114053
"608","Cape Girardeau, MO USA",-89.5181476,37.3058839
"609","Grand Island, NE USA",-98.3420118,40.9263957
"610","Manhattan, KS USA",-96.5716694,39.1836082
"611","Derby, KS USA",-97.2689331,37.5455735
"612","Augusta, KS USA",-96.9767023,37.6866844
"613","Salt Lake City, UT USA",-111.8910474,40.7607793
"614","Sioux Falls, SD USA",-96.7311034,43.5445959
"615","Fargo, ND USA",-96.7898034,46.8771863
"616","Billings, MT USA",-108.5006904,45.7832856
"617","Colorado Springs, CO USA",-104.8213634,38.8338816
"618","Denver, CO USA",-104.990251,39.7392358
"619","Pueblo, CO USA",-104.6091409,38.2544472
"620","Grand Forks, ND USA",-97.0328547,47.9252568
"621","Missoula, MT USA",-113.996586,46.8787176
"622","Greeley, CO USA",-104.7091322,40.4233142
"623","Fort Collins, CO USA",-105.084423,40.5852602
"624","Great Falls, MT USA",-111.2833449,47.4941836
"625","Casper, WY USA",-106.313081,42.866632
"626","Rapid City, SD USA",-103.2310149,44.0805434
"627","Grand Junction, CO USA",-108.5506486,39.0638705
"628","Bismarck, ND USA",-100.7837392,46.8083268
"629","Cheyenne, WY USA",-104.8202462,41.1399814
"630","Logan, UT USA",-111.8338359,41.7369803
"631","Commerce City, CO USA",-104.9338675,39.8083196
"632","Boulder, CO USA",-105.2705456,40.0149856
"633","Loveland, CO USA",-105.0749801,40.3977612
"634","St. George, UT USA",-113.5684164,37.0965278
"635","Berthoud, CO USA",-105.0810924,40.3083174
"636","Reno, NV USA",-119.8138027,39.5296329
"637","Honolulu, HI USA",-157.8583333,21.3069444
"638","Oakland, CA USA",-122.2711137,37.8043637
"639","Bakersfield, CA USA",-119.0187125,35.3732921
"640","Santa Cruz, CA USA",-122.0307963,36.9741171
"641","Modesto, CA USA",-120.9968782,37.6390972
"642","Santa Monica, CA USA",-118.4911912,34.0194543
"643","San Carlos, CA USA",-122.2605222,37.5071591
"644","Torrance, CA USA",-118.3406288,33.8358492
"645","Stockton, CA USA",-121.2907796,37.9577016
"646","San Jose, CA USA",-121.8863286,37.3382082
"647","San Francisco, CA USA",-122.4194155,37.7749295
"648","Santa Rosa, CA USA",-122.7140548,38.440429
"649","Sacramento, CA USA",-121.4943996,38.5815719
"650","Santa Barbara, CA USA",-119.6981901,34.4208305
"651","Los Angeles, CA USA",-118.2436849,34.0522342
"652","Norwalk, CA USA",-118.081733,33.9022367
"653","Long Beach, CA USA",-118.1937395,33.7700504
"654","La Mirada, CA USA",-118.0120086,33.9172357
"655","San Diego, CA USA",-117.1610838,32.715738
"656","Fresno, CA USA",-119.7725868,36.7468422
"657","Vallejo, CA USA",-122.2566367,38.1040864
"658","San Bernardino, CA USA",-117.2897652,34.1083449
"659","Oceanside, CA USA",-117.3794834,33.1958696
"660","Riverside, CA USA",-117.3961564,33.9533487
"661","Phoenix, AZ USA",-112.0740373,33.4483771
"662","Tucson, AZ USA",-110.926479,32.2217429
"663","Glendale, AZ USA",-112.1859866,33.5386523
"664","Oxnard, CA USA",-119.1770516,34.1975048
"665","Orange, CA USA",-117.8531007,33.7879139
"666","Culver City, CA USA",-118.3964665,34.0211224
"667","Montebello, CA USA",-118.1137535,34.0165053
"668","Gardena, CA USA",-118.3089624,33.8883487
"669","Commerce, CA USA",-118.1597929,34.0005691
"670","Arcadia, CA USA",-118.0353449,34.1397292
"671","Las Vegas, NV USA",-115.1398296,36.1699412
"672","Simi Valley, CA USA",-118.781482,34.2694474
"673","Corona, CA USA",-117.5664384,33.8752935
"674","Salinas, CA USA",-121.6555013,36.6777372
"675","Marysville, CA USA",-121.5913547,39.1457253
"676","Monterey, CA USA",-121.8946761,36.6002378
"677","Concord, CA USA",-122.0310733,37.9779776
"678","Thousand Palms, CA USA",-116.3902887,33.8200183
"679","Santa Maria, CA USA",-120.4357191,34.9530337
"680","Napa, CA USA",-122.286865,38.2975381
"681","Woodland, CA USA",-121.7732971,38.6785157
"682","Visalia, CA USA",-119.2920585,36.3302284
"683","Fairfield, CA USA",-122.0399663,38.2493581
"684","Redding, CA USA",-122.3916754,40.5865396
"685","Laguna Beach, CA USA",-117.7853568,33.5427189
"686","Lancaster, CA USA",-118.1541632,34.6867846
"687","Chico, CA USA",-121.8374777,39.7284944
"688","Mesa, AZ USA",-111.8314724,33.4151843
"689","Scottsdale, AZ USA",-111.9260519,33.4941704
"690","Sun City, AZ USA",-112.2718239,33.5975393
"691","Surprise, AZ USA",-112.3679279,33.6292337
"692","Peoria, AZ USA",-112.2373779,33.5805955
"693","Davis, CA USA",-121.7405167,38.5449065
"694","Merced, CA USA",-120.4829677,37.3021632
"695","Livermore, CA USA",-121.7680088,37.6818745
"696","West Covina, CA USA",-117.9389526,34.0686208
"697","Hesperia, CA USA",-117.3008784,34.4263886
"698","Lompoc, CA USA",-120.4579409,34.6391501
"699","Alameda, CA USA",-122.2416355,37.7652065
"700","North Las Vegas, NV USA",-115.1175013,36.1988592
"701","Vacaville, CA USA",-121.9877444,38.3565773
"702","San Luis Obispo, CA USA",-120.6596156,35.2827524
"703","El Monte, CA USA",-118.0275667,34.0686206
"704","Sherman Oaks, CA USA",-118.451357,34.1489719
"705","Pinole, CA USA",-122.2988587,38.0043667
"706","Union City, CA USA",-122.0438298,37.5933918
"707","Antioch, CA USA",-121.805789,38.0049214
"708","Camarillo, CA USA",-119.0376023,34.2163937
"709","Ventura, CA USA",-119.2290316,34.274646
"710","Thousand Oaks, CA USA",-118.8375937,34.1705609
"711","Roseville, CA USA",-121.2880059,38.7521235
"712","Santa Clarita, CA USA",-118.542586,34.3916641
"713","Tempe, AZ USA",-111.9400054,33.4255104
"714","Benicia, CA USA",-122.1585777,38.049365
"715","Lodi, CA USA",-121.2722194,38.1341477
"716","Guadalupe, AZ USA",-117.9172,34.114487
"717","Flagstaff, AZ USA",-111.651302,35.1982836
"718","Rosemead, CA USA",-118.072846,34.0805651
"719","National City, CA USA",-117.0991967,32.6781085
"720","Oro Valley, AZ USA",-110.966488,32.3909071
"721","Yuma, AZ USA",-114.6276916,32.6926512
"722","Chula Vista, CA USA",-117.0841955,32.6400541
"723","Atascadero, CA USA",-120.6707255,35.4894169
"724","Paso Robles, CA USA",-120.6545022,35.6368759
"725","Auburn, CA USA",-121.0768901,38.8965654
"726","Tracy, CA USA",-121.4252227,37.7396513
"727","Porterville, CA USA",-119.0167679,36.06523
"728","Madera, CA USA",-120.0607176,36.9613356
"729","Hanford, CA USA",-119.6456844,36.3274502
"730","Turlock, CA USA",-120.8465941,37.4946568
"731","Elk Grove, CA USA",-121.3716178,38.4087993
"732","Anaheim, CA USA",-117.9143012,33.8365932
"733","El Centro, CA USA",-115.5630514,32.792
"734","Petaluma, CA USA",-122.6366524,38.232417
"735","Redondo Beach, CA USA",-118.3884078,33.8491816
"736","Carson City, NV USA",-119.7674034,39.1637984
"737","Manteca, CA USA",-121.2160526,37.7974273
"738","Folsom, CA USA",-121.1760583,38.6779591
"739","Moorpark, CA USA",-118.8820414,34.285558
"740","Diamond Springs, CA USA",-120.8149355,38.6946259
"741","Irvine, CA USA",-117.8265049,33.6845673
"742","San Rafael, CA USA",-122.5310874,37.9735346
"743","Lincoln, CA USA",-121.2930079,38.891565
"744","Delano, CA USA",-119.2470536,35.7688425
"745","Sierra Vista, AZ USA",-110.2772856,31.5455001
"746","Lake Havasu City, AZ USA",-114.3224548,34.483901
"747","Wailuku, HI USA",-156.5047222,20.8911111
"748","Goleta, CA USA",-119.8276389,34.4358294
"749","Tulare, CA USA",-119.3473379,36.2077288
"750","La Verne, CA USA",-117.7678355,34.1008426
"751","Zephyr Cove, NV USA",-119.9525689,39.0003616
"752","Lynnwood, WA USA",-122.3151314,47.8209301
"753","Mukilteo, WA USA",-122.3045815,47.9445396
"754","Medford, MA USA",-71.1061639,42.4184296
"755","Fairhaven, MA USA",-70.9036487,41.6376043
"756","Ashland, MA USA",-71.4633956,42.2612067
"757","Salem, MA USA",-70.8967155,42.51954
"758","Rensselaer, NY USA",-73.742898,42.6425794
"759","BWI Airport, MD USA",-76.6683922,39.1774042
"760","Highland Park, IL USA",-87.8003437,42.1816918
"761","Sandusky, OH USA",-82.7079605,41.4489396
"762","Charlotte, MI USA",-84.8358211,42.5636478
