"","State","year","gas"
"484","IN",2015,2.28302380952381
"485","KS",2015,2.30591428571429
"486","KY",2015,2.36012857142857
"487","LA",2015,2.19869047619048
"488","MA",2015,2.42036666666667
"489","MD",2015,2.45289523809524
"490","ME",2015,2.48542380952381
"491","MI",2015,2.30711904761905
"492","MN",2015,2.3878380952381
"493","MO",2015,2.25290476190476
"494","MS",2015,2.19507619047619
"495","MT",2015,2.50831428571429
"496","NC",2015,2.37217619047619
"497","ND",2015,2.46494285714286
"498","NE",2015,2.38542857142857
"499","NH",2015,2.4131380952381
"500","NJ",2015,2.36374285714286
"501","NM",2015,2.28302380952381
"502","NV",2015,2.78902380952381
"503","NY",2015,2.46494285714286
"504","OH",2015,2.38181428571429
"505","OK",2015,2.25772380952381
"506","OR",2015,2.86010476190476
"507","PA",2015,2.50590476190476
"508","RI",2015,2.4794
"509","SC",2015,2.23242380952381
"510","SD",2015,2.40229523809524
"511","TN",2015,2.29145714285714
"512","TX",2015,2.19989523809524
"513","US",2015,2.43482380952381
"514","UT",2015,2.50710952380952
"515","VA",2015,2.30350476190476
"516","VT",2015,2.49747142857143
"517","WA",2015,2.69143809523809
"518","WI",2015,2.43843809523809
"519","WV",2015,2.48662857142857
"520","WY",2015,2.34928571428571
